workstream,agent,week,task_id,task,deliverable,dependency,acceptance_criteria,status
UX Research,Agent A,1,UI-W1-A1,Define beginner and expert personas,persona_pack.md,None,Personas approved by product and engineering,planned
UX Research,Agent A,1,UI-W1-A2,Map top 5 beginner workflows,workflow_map.md,UI-W1-A1,Workflow map approved,planned
UX Research,Agent A,2,UI-W2-A3,Run usability sessions and synthesize findings,usability_findings.md,UI-W1-A2,No unresolved critical usability blocker,planned
IA and Content,Agent B,1,UI-W1-B1,Draft unified navigation and route map,ia_route_map.md,None,Route map accepted by FE and API teams,planned
IA and Content,Agent B,1,UI-W1-B2,Create glossary and inline help copy,glossary_copy.md,UI-W1-B1,Glossary integrated into FE copy deck,planned
IA and Content,Agent B,2,UI-W2-B3,Refine onboarding script from usability feedback,onboarding_copy_v2.md,UI-W2-A3,Copy finalized for release candidate,planned
Web Frontend,Agent C,1,UI-W1-C1,Implement Guided and Power mode shell in web,web_mode_shell_pr,UI-W1-B1,Mode switch appears and state persists,planned
Web Frontend,Agent C,2,UI-W2-C2,Implement guided first run flow in web,web_guided_run_pr,UI-W1-C1|UI-W1-B2,New user can complete first run unaided,planned
Web Frontend,Agent C,2,UI-W2-C3,Implement guided compare decision flow in web,web_guided_compare_pr,UI-W2-C2,Compare decision flow works end to end,planned
Streamlit UX,Agent D,1,UI-W1-D1,Implement Start Here checklist in Streamlit,streamlit_start_here_pr,UI-W1-B2,Checklist visible and tracks completion,planned
Streamlit UX,Agent D,2,UI-W2-D2,Add results-root coherence warnings,streamlit_coherence_pr,UI-W1-D1,Users see clear fix message on mismatch,planned
Streamlit UX,Agent D,2,UI-W2-D3,Add beginner glossary tooltips in Run Builder,streamlit_glossary_pr,UI-W1-B2,Top jargon items have inline explanations,planned
API and Integration,Agent E,1,UI-W1-E1,Publish API contract matrix for critical flows,api_contract_matrix.md,None,Contract signed by FE and QA,planned
API and Integration,Agent E,2,UI-W2-E2,Standardize error payload and diagnostics,error_contract_v1.json,UI-W1-E1,FE can render actionable recovery hints,planned
Accessibility,Agent F,1,UI-W1-F1,Run baseline WCAG audit for critical flows,a11y_baseline.md,UI-W1-C1|UI-W1-D1,Baseline gaps categorized by severity,planned
Accessibility,Agent F,2,UI-W2-F2,Verify keyboard and focus order for guided flows,a11y_verify_report.md,UI-W2-C2|UI-W2-D2,Critical flow keyboard pass rate at target,planned
QA Automation,Agent G,1,UI-W1-G1,Create smoke tests for mode switch and onboarding,ui_smoke_tests_pr,UI-W1-C1|UI-W1-D1,CI green on smoke suite,planned
QA Automation,Agent G,2,UI-W2-G2,Add e2e tests for first run and compare decisions,ui_e2e_tests_pr,UI-W2-C2|UI-W2-C3,End-to-end tests pass in CI,planned
Observability,Agent H,1,UI-W1-H1,Define telemetry event taxonomy,ui_event_schema.json,None,Events approved and documented,planned
Observability,Agent H,2,UI-W2-H2,Wire telemetry dashboard for onboarding and completion,ui_dashboard_v1,UI-W1-H1|UI-W2-C2,Metrics visible for release review,planned
Docs and Enablement,Agent I,2,UI-W2-I1,Update quickstart and UI walkthrough docs,updated_quickstart_docs.md,UI-W2-C2|UI-W2-D1,Docs match shipped UI behavior,planned
Release Orchestration,Agent J,1,UI-W1-J1,Establish risk log and gate cadence,ui_risk_log.md,None,Weekly gate review cadence running,planned
Release Orchestration,Agent J,2,UI-W2-J2,Publish sprint review and next-phase go/no-go,sprint_review_packet.md,All week-2 tasks,Signed go/no-go decision recorded,planned
