metric_id,metric_name,unit,direction,baseline_window_start,baseline_window_end,target_window_start,target_window_end,week6_target,red_threshold,amber_threshold,green_threshold,owner_role,source_command_or_artifact
KPI-01,Coverage floor (pytest --cov),percent,higher_is_better,2026-03-02,2026-03-08,2026-04-06,2026-04-12,>=80,<75,75-79.99,>=80,Quality owner,py -3 scripts/ci_checks.py --pytest-args "-q --cov=photonstrust --cov-report=term --cov-fail-under=70"
KPI-02,Flaky test rate,percent,lower_is_better,2026-03-02,2026-03-08,2026-04-06,2026-04-12,<=3,>5,3.01-5,<=3,Quality owner,CI history over repeated test runs
KPI-03,Release gate pass consistency,percent,higher_is_better,2026-03-02,2026-03-08,2026-04-06,2026-04-12,>=95,<90,90-94.99,>=95,Governance owner,results/release_gate/release_gate_report.json
KPI-04,Median lead time for change,hours,lower_is_better,2026-03-02,2026-03-08,2026-04-06,2026-04-12,<24,>36,24-36,<24,Product platform owner,PR open-to-merge timestamps
KPI-05,Orbit parity pass rate,percent,higher_is_better,2026-03-02,2026-03-08,2026-04-06,2026-04-12,>=99,<97,97-98.99,>=99,Physics platform owner,Satellite parity report artifact
KPI-06,Strict protocol parity lane pass rate (qutip+qiskit),percent,higher_is_better,2026-03-02,2026-03-08,2026-04-06,2026-04-12,>=95,<90,90-94.99,>=95,Physics platform owner,results/qutip_parity/*.json and results/qiskit_lane/*.json
KPI-07,Uncertainty budget breaches in GO candidates,count,lower_is_better,2026-03-02,2026-03-08,2026-04-06,2026-04-12,=0,>=2,1,0,Physics platform owner,Signed certificates and signoff reports
KPI-08,PIC tapeout gate pass rate,percent,higher_is_better,2026-03-02,2026-03-08,2026-04-06,2026-04-12,>=95,<90,90-94.99,>=95,Quality/governance owner,results/pic_tapeout_gate/pic_tapeout_gate_report.json
KPI-09,Signed compliance envelope build time,hours,lower_is_better,2026-03-02,2026-03-08,2026-04-06,2026-04-12,<=4,>6,4.01-6,<=4,Governance owner,Release and tapeout bundle generation timestamps
KPI-10,Evidence/signature verification success,percent,higher_is_better,2026-03-02,2026-03-08,2026-04-06,2026-04-12,=100,<98,98-99.99,100,Security owner,scripts/verify_release_gate_packet*.py outputs
KPI-11,P95 runtime for flagship satellite-chain scenario,seconds,lower_is_better,2026-03-02,2026-03-08,2026-04-06,2026-04-12,>=30% faster vs baseline,<10% faster,10-29.99% faster,>=30% faster,Compute platform owner,scripts/measure_quickstart_timing.py output
KPI-12,Sweep throughput (satellite scenarios/hour),scenarios_per_hour,higher_is_better,2026-03-02,2026-03-08,2026-04-06,2026-04-12,>=25% higher vs baseline,<10% higher,10-24.99% higher,>=25% higher,Compute platform owner,results/satellite_chain_sweep*/satellite_chain_sweep.json
